,id,name,backers_count,converted_pledged_amount,country,deadline,link,percent_funded
0,1248099364,ACE COMBAT CATS,17,175,MX,1744657200,https://www.kickstarter.com/projects/1417743046/ace-combat-cats,1972.2222222222224
1,929957215,TACTICAL CHIBAS,21,228,MX,1744653600,https://www.kickstarter.com/projects/991612028/tactical-chibas,2109.090909090909
2,682721647,LeTable Digital One Touch Board Game Table,1,19,GB,1744296301,https://www.kickstarter.com/projects/letable/letable-digital-one-touch-board-game-table,150.0
3,1871216649,KNIGHTS OF THE BLACK POND,28,504,MX,1744412400,https://www.kickstarter.com/projects/1214288519/knights-of-the-black-pond,4320.833333333334
4,1759337203,Bowsette Bondage & Branwen 3d Print Collectable,16,260,MX,1744318986,https://www.kickstarter.com/projects/balam3d/bowsette-bondage-3d-print-collectable,5280.0
5,1924148670,Corgi Gladiators,19,335,MX,1744074000,https://www.kickstarter.com/projects/1172054404/corgi-gladiators,3154.5454545454545
6,412487570,CAPI WRESTLERS,12,212,MX,1744074000,https://www.kickstarter.com/projects/1417743046/capi-wrestlers,2438.888888888889
7,525364062,DARKNIGHT CORGIES,9,169,MX,1744070400,https://www.kickstarter.com/projects/1554431798/darknight-corgies,1590.9090909090908
8,901653876,PUGS OF THE FORCE,21,299,MX,1744070400,https://www.kickstarter.com/projects/2105628272/pugs-of-the-force,3438.8888888888887
9,1996396501,FELINE TROOPERS,22,229,MX,1744066800,https://www.kickstarter.com/projects/991612028/feline-troopers,2159.090909090909
10,817065979,WWI DUCKS,19,213,MX,1744066800,https://www.kickstarter.com/projects/outterspace-design/wwi-ducks,1378.125
11,1941615052,Battle Tanks,4,416,US,1744168200,https://www.kickstarter.com/projects/flowersoftheph/battle-tanks,478.16091954022994
12,1325895880,Texture Rollers Nr.33 - STL files for 3D printing,59,537,DE,1744236000,https://www.kickstarter.com/projects/stllootfactory/texture-rollers-nr33-stl-files-for-3d-printing,1952.0
13,1435446611,Kira Wildmane: 3d printable cavewoman Pin-Up,168,1740,US,1744587382,https://www.kickstarter.com/projects/amcmstudios/kira-wildmane-3d-printable-cavewoman-pin-up,1739.9999999999998
14,45749225,Epic Fortified Fantasy Medieval Cannon Dice Tower - 3D STL,48,673,US,1743980482,https://www.kickstarter.com/projects/slope-3d/epic-fortified-fantasy-medieval-cannon-dice-tower-3d-stl,1346.0
15,369726047,D100 FRIENDS & FOES: 100 Unique Characters and Quests For 5E,44,894,CA,1744582452,https://www.kickstarter.com/projects/sidequests/d100-friends-and-foes-100-unique-characters-and-quests-for-5e,124.0
16,742910337,Macropyre Chess: handmade chess set. Relaunch!,1,363,DE,1743782026,https://www.kickstarter.com/projects/macropyrechess/macropyre-chess-handmade-chess-set-relaunch,328.0
17,98256035,Propeller Islands,307,25945,US,1744639200,https://www.kickstarter.com/projects/queengames/propeller-islands,518.9
18,378181485,Adventurous - A Pocket-Sized Game of Discovery,2353,41657,US,1744468200,https://www.kickstarter.com/projects/239309591/adventurous,2082.85
20,27160745,3D Female Miniature!,15,126,DE,1744148741,https://www.kickstarter.com/projects/miklejane/3d-female-miniature,115.0
21,1698143808,Shard Bugs TCG: The Bug-inning,252,107430,US,1744473600,https://www.kickstarter.com/projects/shardbugstcg/shard-bugs-tcg-the-bug-inning,429.72
22,203564053,CYBERPUNK AXOLOTLS,20,220,MX,1743642000,https://www.kickstarter.com/projects/1214288519/cyberpunk-axolotls,1870.8333333333333
23,1133104789,Sundered Union: Raid and Raiders,177,16742,US,1744549200,https://www.kickstarter.com/projects/studiohistoria/sundered-union-raid-and-raiders,558.0666666666667
25,859432149,GENTLEPHANTS,8,79,MX,1743454800,https://www.kickstarter.com/projects/1172054404/gentlepanths,679.1666666666667
26,481674092,Inca Llamas,9,91,MX,1743465600,https://www.kickstarter.com/projects/1554431798/inca-llamas,552.9411764705882
